탁구초급,홍차옥,21,Fall,4.0,"교수님 짱! 탁구는 홍차옥 교수님!
사람들이랑 친해지면 재미있어요."
탁구초급,홍차옥,21,Fall,5.0,"중간 포핸드, 기말 백핸드로 공 넘기는 거랑 중간 레포트가 있습니다. 이외에는 거의 로드가 없고 편안한 마음으로 조원들과 탁구 경기를 하면 됩니다. 교수님도 올림픽 메달리스트 출신으로 친절하게 자세나 노하우 등  잘알려주십니다."
탁구초급,홍차옥,21,Spring,5.0,"이번 학기 힐링강의
교수님도 학생들 아주 배려해주시고 조원들 잘 만나면 행복한 한 학기 보낼수 있을듯"
탁구초급,홍차옥,20,Fall,5.0,"교수님 엄청 친절하시다
다음에는 꼭 비대면 아닐때 탁구고급으로 듣겠어!"
탁구초급,홍차옥,20,Fall,5.0,"수신이 좀 빡세지만, 수강하시면 후회는 절대 안합니다. 교수님 너무 친절하시고, 수업은 재밌어요."
탁구초급,홍차옥,20,Fall,5.0,"체육치고 과제가많다
중간을 주졌는데 기말에 적당히 하니 에제받음"
탁구초급,홍차옥,20,Fall,5.0,실력이야 말할것 없는 근본 국대출신에 친절하시고 열정도 있으시다. 탁구를 할거면 안들을 이유가 없는 교수님.
탁구초급,홍차옥,19,Fall,5.0,올림픽 메달리스트한테 배울 수 있는 기회!!!!!!
탁구초급,홍차옥,20,Spring,5.0,"학생들 잘 챙겨주시고, 꼼꼼하게, 그리고 재밌게 가르치시려고 노력하시는, 개인적으로 제일 존경하는 교수님 중 하나입니다. 탁구를 배우시고 싶으시거나, 혹은 이미 배웠고 더 배우고 싶으신 분들 아무나 이 교수님께 들으셔도 정말 좋은 경험 하실거에요!"
탁구초급,고경아,18,Spring,5.0,여러가지 기술들을 배울 수 잇고 시합도 같이 할 수 잇어서 재밋엇다
